Attaching to 221_zk_1, 221_kafka_1, 221_connect_1
zk_1       | ZooKeeper JMX enabled by default
zk_1       | 2019-07-01 12:38:53,506 [myid:] - INFO  [main:Environment@100] - Server environment:java.class.path=/zookeeper-3.4.14/bin/../zookeeper-server/target/classes:/zookeeper-3.4.14/bin/../build/classes:/zookeeper-3.4.14/bin/../zookeeper-server/target/lib/*.jar:/zookeeper-3.4.14/bin/../build/lib/*.jar:/zookeeper-3.4.14/bin/../lib/slf4j-log4j12-1.7.25.jar:/zookeeper-3.4.14/bin/../lib/slf4j-api-1.7.25.jar:/zookeeper-3.4.14/bin/../lib/netty-3.10.6.Final.jar:/zookeeper-3.4.14/bin/../lib/log4j-1.2.17.jar:/zookeeper-3.4.14/bin/../lib/jline-0.9.94.jar:/zookeeper-3.4.14/bin/../lib/audience-annotations-0.5.0.jar:/zookeeper-3.4.14/bin/../zookeeper-3.4.14.jar:/zookeeper-3.4.14/bin/../zookeeper-server/src/main/resources/lib/*.jar:/conf:
zk_1       | 2019-07-01 12:38:53,506 [myid:] - INFO  [main:Environment@100] - Server environment:java.library.path=/usr/lib/jvm/java-1.8-openjdk/jre/lib/amd64/server:/usr/lib/jvm/java-1.8-openjdk/jre/lib/amd64:/usr/lib/jvm/java-1.8-openjdk/jre/../lib/amd64:/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib
zk_1       | 2019-07-01 12:38:53,507 [myid:] - INFO  [main:Environment@100] - Server environment:java.io.tmpdir=/tmp
zk_1       | 2019-07-01 12:38:53,507 [myid:] - INFO  [main:Environment@100] - Server environment:java.compiler=<NA>
kafka_1    | + '[' -n '' ']'
kafka_1    | + '[' -n '' ']'
zk_1       | 2019-07-01 12:38:53,508 [myid:] - INFO  [main:Environment@100] - Server environment:os.name=Linux
zk_1       | 2019-07-01 12:38:53,508 [myid:] - INFO  [main:Environment@100] - Server environment:os.arch=amd64
kafka_1    | ++ grep '\sd8bc390657d9$' /etc/hosts
kafka_1    | ++ awk '{print $1}'
kafka_1    | ++ head -n 1
kafka_1    | + IP=172.21.0.3
kafka_1    | + '[' -z zk:2181 ']'
kafka_1    | + cat /kafka/config/server.properties.template
kafka_1    | + sed -e 's|{{KAFKA_ADVERTISED_HOST_NAME}}|kafka|g' -e 's|{{KAFKA_ADVERTISED_PORT}}|9092|g' -e 's|{{KAFKA_AUTO_CREATE_TOPICS_ENABLE}}|true|g' -e 's|{{KAFKA_BROKER_ID}}|0|g' -e 's|{{KAFKA_DEFAULT_REPLICATION_FACTOR}}|1|g' -e 's|{{KAFKA_DELETE_TOPIC_ENABLE}}|false|g' -e 's|{{KAFKA_GROUP_MAX_SESSION_TIMEOUT_MS}}|300000|g' -e 's|{{KAFKA_INTER_BROKER_PROTOCOL_VERSION}}|0.10.2.1|g' -e 's|{{KAFKA_LOG_MESSAGE_FORMAT_VERSION}}|0.10.2.1|g' -e 's|{{KAFKA_LOG_RETENTION_HOURS}}|168|g' -e 's|{{KAFKA_NUM_PARTITIONS}}|1|g' -e 's|{{KAFKA_PORT}}|9092|g' -e 's|{{ZOOKEEPER_CHROOT}}|/broker-0|g' -e 's|{{ZOOKEEPER_CONNECTION_STRING}}|zk:2181|g' -e 's|{{ZOOKEEPER_CONNECTION_TIMEOUT_MS}}|10000|g' -e 's|{{ZOOKEEPER_SESSION_TIMEOUT_MS}}|10000|g' -e 's|{{KAFKA_MESSAGE_MAX_BYTES}}|1000012|g' -e 's|{{KAFKA_REPLICA_FETCH_MAX_BYTES}}|1048576|g'
zk_1       | 2019-07-01 12:38:53,508 [myid:] - INFO  [main:Environment@100] - Server environment:os.version=4.9.125-linuxkit
connect_1  | [docker-entrypoint.sh] (WARN) : EMPTY ENV 'CONNECT_REST_ADVERTISED_HOST_NAME'
connect_1  | [docker-entrypoint.sh] (WARN) : EMPTY ENV 'CONNECT_REST_ADVERTISED_PORT'
connect_1  |
connect_1  | [start-connect.sh] (INFO) : Starting...
kafka_1    | + '[' -z ']'
kafka_1    | + KAFKA_JMX_OPTS=-Dcom.sun.management.jmxremote=true
kafka_1    | + KAFKA_JMX_OPTS='-Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false'
kafka_1    | + KAFKA_JMX_OPTS='-Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false'
kafka_1    | + KAFKA_JMX_OPTS='-Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmxremote.rmi.port=7203'
kafka_1    | + KAFKA_JMX_OPTS='-Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmxremote.rmi.port=7203 -Djava.rmi.server.hostname=kafka '
kafka_1    | + export KAFKA_JMX_OPTS
kafka_1    | + echo 'Starting kafka'
kafka_1    | + exec /kafka/bin/kafka-server-start.sh /kafka/config/server.properties
kafka_1    | Starting kafka
zk_1       | 2019-07-01 12:38:53,509 [myid:] - INFO  [main:Environment@100] - Server environment:user.name=zookeeper
zk_1       | 2019-07-01 12:38:53,509 [myid:] - INFO  [main:Environment@100] - Server environment:user.home=/home/zookeeper
zk_1       | 2019-07-01 12:38:53,509 [myid:] - INFO  [main:Environment@100] - Server environment:user.dir=/zookeeper-3.4.14
zk_1       | 2019-07-01 12:38:53,517 [myid:] - INFO  [main:ZooKeeperServer@836] - tickTime set to 2000
zk_1       | 2019-07-01 12:38:53,517 [myid:] - INFO  [main:ZooKeeperServer@845] - minSessionTimeout set to -1
zk_1       | 2019-07-01 12:38:53,517 [myid:] - INFO  [main:ZooKeeperServer@854] - maxSessionTimeout set to -1
zk_1       | 2019-07-01 12:38:53,528 [myid:] - INFO  [main:ServerCnxnFactory@117] - Using org.apache.zookeeper.server.NIOServerCnxnFactory as server connection factory
zk_1       | 2019-07-01 12:38:53,535 [myid:] - INFO  [main:NIOServerCnxnFactory@89] - binding to port 0.0.0.0/0.0.0.0:2181
zk_1       | 2019-07-01 12:38:56,720 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /172.21.0.3:46170
kafka_1    | [2019-07-01 12:38:56,529] INFO KafkaConfig values:
kafka_1    |    advertised.host.name = kafka
kafka_1    |    advertised.listeners = null
kafka_1    |    advertised.port = 9092
kafka_1    |    authorizer.class.name =
kafka_1    |    auto.create.topics.enable = true
kafka_1    |    auto.leader.rebalance.enable = true
kafka_1    |    background.threads = 10
kafka_1    |    broker.id = 0
kafka_1    |    broker.id.generation.enable = true
kafka_1    |    broker.rack = null
kafka_1    |    compression.type = producer
kafka_1    |    connections.max.idle.ms = 600000
kafka_1    |    controlled.shutdown.enable = true
kafka_1    |    controlled.shutdown.max.retries = 3
kafka_1    |    controlled.shutdown.retry.backoff.ms = 5000
kafka_1    |    controller.socket.timeout.ms = 30000
kafka_1    |    create.topic.policy.class.name = null
kafka_1    |    default.replication.factor = 1
kafka_1    |    delete.topic.enable = false
kafka_1    |    fetch.purgatory.purge.interval.requests = 1000
kafka_1    |    group.max.session.timeout.ms = 300000
kafka_1    |    group.min.session.timeout.ms = 6000
kafka_1    |    host.name =
kafka_1    |    inter.broker.listener.name = null
kafka_1    |    inter.broker.protocol.version = 0.10.2.1
kafka_1    |    leader.imbalance.check.interval.seconds = 300
kafka_1    |    leader.imbalance.per.broker.percentage = 10
kafka_1    |    listener.security.protocol.map = SSL:SSL,SASL_PLAINTEXT:SASL_PLAINTEXT,TRACE:TRACE,SASL_SSL:SASL_SSL,PLAINTEXT:PLAINTEXT
kafka_1    |    listeners = null
kafka_1    |    log.cleaner.backoff.ms = 15000
kafka_1    |    log.cleaner.dedupe.buffer.size = 134217728
kafka_1    |    log.cleaner.delete.retention.ms = 86400000
kafka_1    |    log.cleaner.enable = true
kafka_1    |    log.cleaner.io.buffer.load.factor = 0.9
kafka_1    |    log.cleaner.io.buffer.size = 524288
kafka_1    |    log.cleaner.io.max.bytes.per.second = 1.7976931348623157E308
kafka_1    |    log.cleaner.min.cleanable.ratio = 0.5
kafka_1    |    log.cleaner.min.compaction.lag.ms = 0
kafka_1    |    log.cleaner.threads = 1
kafka_1    |    log.cleanup.policy = [delete]
kafka_1    |    log.dir = /data
kafka_1    |    log.dirs = /data
kafka_1    |    log.flush.interval.messages = 9223372036854775807
kafka_1    |    log.flush.interval.ms = null
kafka_1    |    log.flush.offset.checkpoint.interval.ms = 60000
kafka_1    |    log.flush.scheduler.interval.ms = 9223372036854775807
kafka_1    |    log.index.interval.bytes = 4096
kafka_1    |    log.index.size.max.bytes = 10485760
kafka_1    |    log.message.format.version = 0.10.2.1
kafka_1    |    log.message.timestamp.difference.max.ms = 9223372036854775807
kafka_1    |    log.message.timestamp.type = CreateTime
kafka_1    |    log.preallocate = false
kafka_1    |    log.retention.bytes = -1
kafka_1    |    log.retention.check.interval.ms = 300000
kafka_1    |    log.retention.hours = 168
kafka_1    |    log.retention.minutes = null
kafka_1    |    log.retention.ms = null
kafka_1    |    log.roll.hours = 168
kafka_1    |    log.roll.jitter.hours = 0
kafka_1    |    log.roll.jitter.ms = null
kafka_1    |    log.roll.ms = null
kafka_1    |    log.segment.bytes = 1073741824
kafka_1    |    log.segment.delete.delay.ms = 60000
kafka_1    |    max.connections.per.ip = 2147483647
kafka_1    |    max.connections.per.ip.overrides =
kafka_1    |    message.max.bytes = 1000012
kafka_1    |    metric.reporters = []
kafka_1    |    metrics.num.samples = 2
kafka_1    |    metrics.recording.level = INFO
kafka_1    |    metrics.sample.window.ms = 30000
kafka_1    |    min.insync.replicas = 1
kafka_1    |    num.io.threads = 8
kafka_1    |    num.network.threads = 3
kafka_1    |    num.partitions = 1
kafka_1    |    num.recovery.threads.per.data.dir = 1
kafka_1    |    num.replica.fetchers = 1
kafka_1    |    offset.metadata.max.bytes = 4096
kafka_1    |    offsets.commit.required.acks = -1
kafka_1    |    offsets.commit.timeout.ms = 5000
kafka_1    |    offsets.load.buffer.size = 5242880
kafka_1    |    offsets.retention.check.interval.ms = 600000
kafka_1    |    offsets.retention.minutes = 1440
kafka_1    |    offsets.topic.compression.codec = 0
kafka_1    |    offsets.topic.num.partitions = 50
kafka_1    |    offsets.topic.replication.factor = 3
kafka_1    |    offsets.topic.segment.bytes = 104857600
kafka_1    |    port = 9092
kafka_1    |    principal.builder.class = class org.apache.kafka.common.security.auth.DefaultPrincipalBuilder
kafka_1    |    producer.purgatory.purge.interval.requests = 1000
kafka_1    |    queued.max.requests = 500
kafka_1    |    quota.consumer.default = 9223372036854775807
kafka_1    |    quota.producer.default = 9223372036854775807
kafka_1    |    quota.window.num = 11
kafka_1    |    quota.window.size.seconds = 1
kafka_1    |    replica.fetch.backoff.ms = 1000
kafka_1    |    replica.fetch.max.bytes = 1048576
kafka_1    |    replica.fetch.min.bytes = 1
kafka_1    |    replica.fetch.response.max.bytes = 10485760
kafka_1    |    replica.fetch.wait.max.ms = 500
kafka_1    |    replica.high.watermark.checkpoint.interval.ms = 5000
kafka_1    |    replica.lag.time.max.ms = 10000
kafka_1    |    replica.socket.receive.buffer.bytes = 65536
kafka_1    |    replica.socket.timeout.ms = 30000
zk_1       | 2019-07-01 12:38:56,725 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /172.21.0.3:46170
zk_1       | 2019-07-01 12:38:56,727 [myid:] - INFO  [SyncThread:0:FileTxnLog@216] - Creating new log file: log.296
kafka_1    |    replication.quota.window.num = 11
kafka_1    |    replication.quota.window.size.seconds = 1
kafka_1    |    request.timeout.ms = 30000
kafka_1    |    reserved.broker.max.id = 1000
kafka_1    |    sasl.enabled.mechanisms = [GSSAPI]
kafka_1    |    sasl.kerberos.kinit.cmd = /usr/bin/kinit
kafka_1    |    sasl.kerberos.min.time.before.relogin = 60000
kafka_1    |    sasl.kerberos.principal.to.local.rules = [DEFAULT]
kafka_1    |    sasl.kerberos.service.name = null
kafka_1    |    sasl.kerberos.ticket.renew.jitter = 0.05
kafka_1    |    sasl.kerberos.ticket.renew.window.factor = 0.8
kafka_1    |    sasl.mechanism.inter.broker.protocol = GSSAPI
kafka_1    |    security.inter.broker.protocol = PLAINTEXT
kafka_1    |    socket.receive.buffer.bytes = 102400
kafka_1    |    socket.request.max.bytes = 104857600
kafka_1    |    socket.send.buffer.bytes = 102400
kafka_1    |    ssl.cipher.suites = null
kafka_1    |    ssl.client.auth = none
kafka_1    |    ssl.enabled.protocols = [TLSv1.2, TLSv1.1, TLSv1]
kafka_1    |    ssl.endpoint.identification.algorithm = null
kafka_1    |    ssl.key.password = null
kafka_1    |    ssl.keymanager.algorithm = SunX509
kafka_1    |    ssl.keystore.location = null
kafka_1    |    ssl.keystore.password = null
kafka_1    |    ssl.keystore.type = JKS
kafka_1    |    ssl.protocol = TLS
kafka_1    |    ssl.provider = null
kafka_1    |    ssl.secure.random.implementation = null
kafka_1    |    ssl.trustmanager.algorithm = PKIX
kafka_1    |    ssl.truststore.location = null
kafka_1    |    ssl.truststore.password = null
kafka_1    |    ssl.truststore.type = JKS
kafka_1    |    unclean.leader.election.enable = true
kafka_1    |    zookeeper.connect = zk:2181/broker-0
kafka_1    |    zookeeper.connection.timeout.ms = 10000
kafka_1    |    zookeeper.session.timeout.ms = 10000
kafka_1    |    zookeeper.set.acl = false
kafka_1    |    zookeeper.sync.time.ms = 2000
kafka_1    |  (kafka.server.KafkaConfig)
zk_1       | 2019-07-01 12:38:56,869 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100011c7a750000 with negotiated timeout 10000 for client /172.21.0.3:46170
zk_1       | 2019-07-01 12:38:56,891 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x100011c7a750000
zk_1       | 2019-07-01 12:38:56,932 [myid:] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@376] - Unable to read additional data from client sessionid 0x100011c7a750000, likely client has closed socket
zk_1       | 2019-07-01 12:38:56,934 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1056] - Closed socket connection for client /172.21.0.3:46170 which had sessionid 0x100011c7a750000
zk_1       | 2019-07-01 12:38:56,944 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@222] - Accepted socket connection from /172.21.0.3:46172
zk_1       | 2019-07-01 12:38:56,945 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@949] - Client attempting to establish new session at /172.21.0.3:46172
zk_1       | 2019-07-01 12:38:57,030 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@694] - Established session 0x100011c7a750001 with negotiated timeout 10000 for client /172.21.0.3:46172
kafka_1    | [2019-07-01 12:38:56,650] INFO starting (kafka.server.KafkaServer)
kafka_1    | [2019-07-01 12:38:56,653] INFO Connecting to zookeeper on zk:2181/broker-0 (kafka.server.KafkaServer)
kafka_1    | [2019-07-01 12:38:56,672] INFO Starting ZkClient event thread. (org.I0Itec.zkclient.ZkEventThread)
kafka_1    | [2019-07-01 12:38:56,676] INFO Client environment:zookeeper.version=3.4.9-1757313, built on 08/23/2016 06:50 GMT (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,676] INFO Client environment:host.name=d8bc390657d9 (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,676] INFO Client environment:java.version=1.8.0_60 (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,676] INFO Client environment:java.vendor=Oracle Corporation (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,677] INFO Client environment:java.home=/usr/lib/jvm/java-8-oracle/jre (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,677] INFO Client environment:java.class.path=:/kafka/bin/../libs/aopalliance-repackaged-2.5.0-b05.jar:/kafka/bin/../libs/argparse4j-0.7.0.jar:/kafka/bin/../libs/connect-api-0.10.2.1.jar:/kafka/bin/../libs/connect-file-0.10.2.1.jar:/kafka/bin/../libs/connect-json-0.10.2.1.jar:/kafka/bin/../libs/connect-runtime-0.10.2.1.jar:/kafka/bin/../libs/connect-transforms-0.10.2.1.jar:/kafka/bin/../libs/guava-18.0.jar:/kafka/bin/../libs/hk2-api-2.5.0-b05.jar:/kafka/bin/../libs/hk2-locator-2.5.0-b05.jar:/kafka/bin/../libs/hk2-utils-2.5.0-b05.jar:/kafka/bin/../libs/jackson-annotations-2.8.0.jar:/kafka/bin/../libs/jackson-annotations-2.8.5.jar:/kafka/bin/../libs/jackson-core-2.8.5.jar:/kafka/bin/../libs/jackson-databind-2.8.5.jar:/kafka/bin/../libs/jackson-jaxrs-base-2.8.5.jar:/kafka/bin/../libs/jackson-jaxrs-json-provider-2.8.5.jar:/kafka/bin/../libs/jackson-module-jaxb-annotations-2.8.5.jar:/kafka/bin/../libs/javassist-3.20.0-GA.jar:/kafka/bin/../libs/javax.annotation-api-1.2.jar:/kafka/bin/../libs/javax.inject-1.jar:/kafka/bin/../libs/javax.inject-2.5.0-b05.jar:/kafka/bin/../libs/javax.servlet-api-3.1.0.jar:/kafka/bin/../libs/javax.ws.rs-api-2.0.1.jar:/kafka/bin/../libs/jersey-client-2.24.jar:/kafka/bin/../libs/jersey-common-2.24.jar:/kafka/bin/../libs/jersey-container-servlet-2.24.jar:/kafka/bin/../libs/jersey-container-servlet-core-2.24.jar:/kafka/bin/../libs/jersey-guava-2.24.jar:/kafka/bin/../libs/jersey-media-jaxb-2.24.jar:/kafka/bin/../libs/jersey-server-2.24.jar:/kafka/bin/../libs/jetty-continuation-9.2.15.v20160210.jar:/kafka/bin/../libs/jetty-http-9.2.15.v20160210.jar:/kafka/bin/../libs/jetty-io-9.2.15.v20160210.jar:/kafka/bin/../libs/jetty-security-9.2.15.v20160210.jar:/kafka/bin/../libs/jetty-server-9.2.15.v20160210.jar:/kafka/bin/../libs/jetty-servlet-9.2.15.v20160210.jar:/kafka/bin/../libs/jetty-servlets-9.2.15.v20160210.jar:/kafka/bin/../libs/jetty-util-9.2.15.v20160210.jar:/kafka/bin/../libs/jopt-simple-5.0.3.jar:/kafka/bin/../libs/kafka-clients-0.10.2.1.jar:/kafka/bin/../libs/kafka-log4j-appender-0.10.2.1.jar:/kafka/bin/../libs/kafka-streams-0.10.2.1.jar:/kafka/bin/../libs/kafka-streams-examples-0.10.2.1.jar:/kafka/bin/../libs/kafka-tools-0.10.2.1.jar:/kafka/bin/../libs/kafka_2.12-0.10.2.1-sources.jar:/kafka/bin/../libs/kafka_2.12-0.10.2.1-test-sources.jar:/kafka/bin/../libs/kafka_2.12-0.10.2.1.jar:/kafka/bin/../libs/log4j-1.2.17.jar:/kafka/bin/../libs/lz4-1.3.0.jar:/kafka/bin/../libs/metrics-core-2.2.0.jar:/kafka/bin/../libs/osgi-resource-locator-1.0.1.jar:/kafka/bin/../libs/reflections-0.9.10.jar:/kafka/bin/../libs/rocksdbjni-5.0.1.jar:/kafka/bin/../libs/scala-library-2.12.1.jar:/kafka/bin/../libs/scala-parser-combinators_2.12-1.0.4.jar:/kafka/bin/../libs/slf4j-api-1.7.21.jar:/kafka/bin/../libs/slf4j-log4j12-1.7.21.jar:/kafka/bin/../libs/snappy-java-1.1.2.6.jar:/kafka/bin/../libs/validation-api-1.1.0.Final.jar:/kafka/bin/../libs/zkclient-0.10.jar:/kafka/bin/../libs/zookeeper-3.4.9.jar (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,677] INFO Client environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,683] INFO Client environment:java.io.tmpdir=/tmp (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,683] INFO Client environment:java.compiler=<NA> (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,683] INFO Client environment:os.name=Linux (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,683] INFO Client environment:os.arch=amd64 (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,683] INFO Client environment:os.version=4.9.125-linuxkit (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,683] INFO Client environment:user.name=kafka (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,683] INFO Client environment:user.home=/kafka (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,684] INFO Client environment:user.dir=/kafka (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,685] INFO Initiating client connection, connectString=zk:2181 sessionTimeout=10000 watcher=org.I0Itec.zkclient.ZkClient@1fe20588 (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,698] INFO Waiting for keeper state SyncConnected (org.I0Itec.zkclient.ZkClient)
kafka_1    | [2019-07-01 12:38:56,701] INFO Opening socket connection to server 221_zk_1.221_default/172.21.0.2:2181. Will not attempt to authenticate using SASL (unknown error) (org.apache.zookeeper.ClientCnxn)
kafka_1    | [2019-07-01 12:38:56,718] INFO Socket connection established to 221_zk_1.221_default/172.21.0.2:2181, initiating session (org.apache.zookeeper.ClientCnxn)
kafka_1    | [2019-07-01 12:38:56,873] INFO Session establishment complete on server 221_zk_1.221_default/172.21.0.2:2181, sessionid = 0x100011c7a750000, negotiated timeout = 10000 (org.apache.zookeeper.ClientCnxn)
kafka_1    | [2019-07-01 12:38:56,876] INFO zookeeper state changed (SyncConnected) (org.I0Itec.zkclient.ZkClient)
kafka_1    | [2019-07-01 12:38:56,890] INFO Created zookeeper path /broker-0 (kafka.server.KafkaServer)
kafka_1    | [2019-07-01 12:38:56,890] INFO Terminate ZkClient event thread. (org.I0Itec.zkclient.ZkEventThread)
kafka_1    | [2019-07-01 12:38:56,936] INFO Session: 0x100011c7a750000 closed (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,936] INFO Initiating client connection, connectString=zk:2181/broker-0 sessionTimeout=10000 watcher=org.I0Itec.zkclient.ZkClient@4b5a5ed1 (org.apache.zookeeper.ZooKeeper)
kafka_1    | [2019-07-01 12:38:56,938] INFO EventThread shut down for session: 0x100011c7a750000 (org.apache.zookeeper.ClientCnxn)
kafka_1    | [2019-07-01 12:38:56,938] INFO Starting ZkClient event thread. (org.I0Itec.zkclient.ZkEventThread)
kafka_1    | [2019-07-01 12:38:56,941] INFO Waiting for keeper state SyncConnected (org.I0Itec.zkclient.ZkClient)
kafka_1    | [2019-07-01 12:38:56,941] INFO Opening socket connection to server 221_zk_1.221_default/172.21.0.2:2181. Will not attempt to authenticate using SASL (unknown error) (org.apache.zookeeper.ClientCnxn)
kafka_1    | [2019-07-01 12:38:56,944] INFO Socket connection established to 221_zk_1.221_default/172.21.0.2:2181, initiating session (org.apache.zookeeper.ClientCnxn)
kafka_1    | [2019-07-01 12:38:57,029] INFO Session establishment complete on server 221_zk_1.221_default/172.21.0.2:2181, sessionid = 0x100011c7a750001, negotiated timeout = 10000 (org.apache.zookeeper.ClientCnxn)
kafka_1    | [2019-07-01 12:38:57,029] INFO zookeeper state changed (SyncConnected) (org.I0Itec.zkclient.ZkClient)
kafka_1    | [2019-07-01 12:38:57,175] INFO Cluster ID = BDDF9e57RLu8iD_aMyORAQ (kafka.server.KafkaServer)
kafka_1    | [2019-07-01 12:38:57,216] INFO [ThrottledRequestReaper-Fetch], Starting  (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
kafka_1    | [2019-07-01 12:38:57,218] INFO [ThrottledRequestReaper-Produce], Starting  (kafka.server.ClientQuotaManager$ThrottledRequestReaper)
kafka_1    | [2019-07-01 12:38:57,293] INFO Loading logs. (kafka.log.LogManager)
kafka_1    | [2019-07-01 12:38:57,335] INFO Completed load of log __consumer_offsets-13 with 1 log segments and log end offset 0 in 23 ms (kafka.log.Log)
kafka_1    | [2019-07-01 12:38:57,341] INFO Completed load of log connect-offsets-13 with 1 log segments and log end offset 0 in 0 ms (kafka.log.Log)
kafka_1    | [2019-07-01 12:38:57,348] INFO Completed load of log __consumer_offsets-18 with 1 log segments and log end offset 0 in 3 ms (kafka.log.Log)
kafka_1    | [2019-07-01 12:38:57,353] INFO Completed load of log __consumer_offsets-9 with 1 log segments and log end offset 0 in 2 ms (kafka.log.Log)
kafka_1    | [2019-07-01 12:38:57,356] INFO Completed load of log __consumer_offsets-49 with 1 log segments and log end offset 0 in 1 ms (kafka.log.Log)
kafka_1    | [2019-07-01 12:38:57,360] INFO Completed load of log __consumer_offsets-7 with 1 log segments and log end offset 0 in 1 ms (kafka.log.Log)
kafka_1    | [2019-07-01 12:38:57,373] INFO Completed load of log connect-status-4 with 1 log segments and log end offset 0 in 1 ms (kafka.log.Log)
kafka_1    | [2019-07-01 12:38:57,378] INFO Completed load of log __consumer_offsets-31 with 1 log segments and log end offset 0 in 1 ms (kafka.log.Log)
kafka_1    | [2019-07-01 12:38:57,388] INFO Completed load of log connect-offsets-5 with 1 log segments and log end offset 0 in 1 ms (kafka.log.Log)
kafka_1    | [2019-07-01 12:38:57,401] INFO Completed load of log __consumer_offsets-32 with 1 log segments and log end offset 0 in 1 ms (kafka.log.Log)
kafka_1    | [2019-07-01 12:38:57,414] INFO Completed load of log __consumer_offsets-42 with 1 log segments and log end offset 0 in 1 ms (kafka.log.Log)
kafka_1    | [2019-07-01 12:38:57,419] INFO Completed load of log connect-offsets-19 with 1 log segments and log end offset 0 in 1 ms (kafka.log.Log)
